"ID","channel","PID_EB9","PID_AB3","PID_NSS","multicast_address","min_rate","max_rate","channel_function","Field9","Field10","Field11","Field12","Field13","Field14","Field15","Field16","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27","Field28"
19,"SAF-Americas",509.00,,1923.00,"224.223.222.249:2490",3800.00,91000.00,"SAF Europe/Americas",,,,,,,,,,,,,,,,,,,,
20,"SAF-Africa",301.00,301.00,,"224.223.222.33:3511",55000.00,324000.00,"SAF Europe/Africa",,,,,,,,,,,,,,,,,,,,
21,"SAF-Global",300.00,300.00,1922.00,"224.223.222.32:3411",50000.00,200000.00,"SAF Europe/Africa/Americas",,,,,,,,,,,,,,,,,,,,
22,"Americas-CH1",509.00,,1923.00,"224.223.222.250:2500",3800.00,456000.00,"products from data providers in the Americas",,,,,,,,,,,,,,,,,,,,
23,"DEVCOCAST-1",300.00,300.00,1922.00,"224.223.222.37:3911",73000.00,114000.00,"DevCoCast products",,,,,,,,,,,,,,,,,,,,
24,"RANET-1",301.00,301.00,,"224.223.222.38:4011",36000.00,73000.00,"RANET products",,,,,,,,,,,,,,,,,,,,
25,"AIDA-1",301.00,301.00,,"224.223.222.39:4111",18000.00,18000.00,"AIDA products",,,,,,,,,,,,,,,,,,,,
26,"WWW-Channel",100.00,100.00,1921.00,"224.223.222.40:4211",3000.00,72000.00,"WWW Content",,,,,,,,,,,,,,,,,,,,
27,"EPS-1",510.00,,,"224.223.222.230:2300",9000.00,30000.00,"Metop ADCS",,,,,,,,,,,,,,,,,,,,
28,"EPS-2",510.00,,,"224.223.222.231:2310",9000.00,24000.00,"Metop AMSA",,,,,,,,,,,,,,,,,,,,
29,"EPS-3",510.00,,,"224.223.222.232:2320",163000.00,440000.00,"Metop ASCA",,,,,,,,,,,,,,,,,,,,
30,"EPS-4",510.00,,,"224.223.222.233:2330",243000.00,737000.00,"Metop ATOV",,,,,,,,,,,,,,,,,,,,
31,"EPS-5",510.00,,,"224.223.222.234:2340",1895000.00,4209000.00,"Metop GOME ",,,,,,,,,,,,,,,,,,,,
32,"EPS-6",510.00,,,"224.223.222.235:2350",497000.00,1723000.00,"Metop GRAS ",,,,,,,,,,,,,,,,,,,,
33,"EPS-7",510.00,,,"224.223.222.236:2360",9000.00,36000.00,"Metop HIRS",,,,,,,,,,,,,,,,,,,,
34,"EPS-8",510.00,,,"224.223.222.237:2370",11000.00,54000.00,"Metop MHS",,,,,,,,,,,,,,,,,,,,
35,"EPS-9",510.00,,,"224.223.222.238:2380",9000.00,18000.00,"Metop SEM",,,,,,,,,,,,,,,,,,,,
36,"EPS-10",510.00,,,"224.223.222.239:2390",1500000.00,4077000.00,"Metop AVHRR ",,,,,,,,,,,,,,,,,,,,
37,"EPS-11",510.00,,,"224.223.222.240:2400",3323000.00,4982000.00,"Metop IASI ",,,,,,,,,,,,,,,,,,,,
38,"EPS-12",510.00,,,"224.223.222.241:2410",9000.00,58000.00,"Metop HKTM",,,,,,,,,,,,,,,,,,,,
39,"EPS-13",510.00,,,"224.223.222.242:2420",9000.00,18000.00,"NOAA AMSA",,,,,,,,,,,,,,,,,,,,
40,"EPS-14",510.00,,,"224.223.222.243:2430",243000.00,736000.00,"NOAA ATOV",,,,,,,,,,,,,,,,,,,,
41,"EPS-15",510.00,,,"224.223.222.244:2440",178000.00,553000.00,"NOAA GAC",,,,,,,,,,,,,,,,,,,,
42,"EPS-16",510.00,,,"224.223.222.245:2450",9000.00,25000.00,"NOAA HIRS",,,,,,,,,,,,,,,,,,,,
43,"EPS-17",510.00,,,"224.223.222.246:2460",11000.00,38000.00,"NOAA MHS",,,,,,,,,,,,,,,,,,,,
44,"EPS-18",510.00,,,"224.223.222.247:2470",9000.00,18000.00,"Test",,,,,,,,,,,,,,,,,,,,
45,"EPS-19",510.00,,,"224.223.222.229:2290",10000.00,980800.00,"commissioning",,,,,,,,,,,,,,,,,,,,
46,"EPS-Global",300.00,300.00,1922.00,"224.223.222.226:2226",25000.00,60000.00,"EPS Global",,,,,,,,,,,,,,,,,,,,
47,"EPS-Africa",301.00,301.00,,"224.223.222.227:2227",14000.00,50000.00,"EPS Africa",,,,,,,,,,,,,,,,,,,,
48,"MFRSYSG1",511.00,511.00,,"224.223.222.95:2950",1000.00,10000.00,"Retim Africa",,,,,,,,,,,,,,,,,,,,
49,"MFRSYSG2",511.00,511.00,,"224.223.222.96:2960",1000.00,3000.00,"Retim Africa",,,,,,,,,,,,,,,,,,,,
50,"MFRAFRG1",511.00,511.00,,"224.223.222.81:2810",30000.00,200000.00,"Retim Africa",,,,,,,,,,,,,,,,,,,,
51,"MFRAFRG2",511.00,511.00,,"224.223.222.82:2820",16000.00,109000.00,"Retim Africa",,,,,,,,,,,,,,,,,,,,
52,"MFRAFRG3",511.00,511.00,,"224.223.222.83:2830",100000.00,200000.00,"Retim Africa",,,,,,,,,,,,,,,,,,,,
53,"MFRAFRG4",511.00,511.00,,"224.223.222.84:2840",30000.00,200000.00,"Retim Africa",,,,,,,,,,,,,,,,,,,,
54,"MFRAFRG5",511.00,511.00,,"224.223.222.85:2850",104000.00,292000.00,"Retim Africa",,,,,,,,,,,,,,,,,,,,
55,"MFRAFRG6",511.00,511.00,,"224.223.222.86:2860",10000.00,292000.00,"Retim Africa",,,,,,,,,,,,,,,,,,,,
56,"MFRAFRG7",511.00,511.00,,"224.223.222.87:2870",1000.00,3000.00,"Retim Africa",,,,,,,,,,,,,,,,,,,,
57,"MFRAFRG8",511.00,511.00,,"224.223.222.88:2880",1000.00,3000.00,"Retim Africa",,,,,,,,,,,,,,,,,,,,
58,"MFRAFRG9",511.00,511.00,,"224.223.222.89:2890",1000.00,3000.00,"Retim Africa",,,,,,,,,,,,,,,,,,,,
59,"MFREURG1",512.00,,,"224.223.222.101:2101",5500.00,17000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
60,"MFREURG2",512.00,,,"224.223.222.102:2102",175000.00,1994300.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
61,"MFREURG3",512.00,,,"224.223.222.103:2103",20000.00,76000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
62,"MFREURG4",512.00,,,"224.223.222.104:2104",108000.00,900000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
63,"MFREURG5",512.00,,,"224.223.222.105:2105",73000.00,200000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
64,"MFREURG6",512.00,,,"224.223.222.106:2106",9000.00,45000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
65,"MFREURG7",512.00,,,"224.223.222.107:2107",9000.00,180000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
66,"MFREURG8",512.00,,,"224.223.222.108:2108",9000.00,90000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
67,"MFREURG9",512.00,,,"224.223.222.109:2109",9000.00,90000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
68,"MFREURG10",512.00,,,"224.223.222.110:2110",660000.00,1994300.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
69,"MFREURG11",512.00,,,"224.223.222.111:2111",9120.00,18000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
70,"MFREURG12",512.00,,,"224.223.222.112:2112",55000.00,292000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
71,"MFREURG13",512.00,,,"224.223.222.113:2113",305000.00,1300000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
72,"MFREURG14",512.00,,,"224.223.222.114:2114",305000.00,1300000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
73,"MFREURG15",512.00,,,"224.223.222.115:2115",64000.00,400000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
74,"MFREURG16",512.00,,,"224.223.222.116:2116",175000.00,1994300.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
75,"MFREURG17",512.00,,,"224.223.222.117:2117",1000.00,3000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
76,"MFREURG18",512.00,,,"224.223.222.118:2118",1000.00,3000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
77,"MFREURG19",512.00,,,"224.223.222.119:2119",1000.00,3000.00,"Retim Europe",,,,,,,,,,,,,,,,,,,,
